source,target,interaction_name,ligand,receptor,interaction_name_2,pathway_name,annotation,evidence,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
Microglia,Tanycyte,PSAP_GPR37L1,,,,,,,0.0,1.0,0.242805003865696,0.0,0.242805003865696,37.82100719755919,Female,gained
Microglia,Tanycyte,SEMA4D_PLXNB1,Sema4d,Plxnb1,Sema4d  - Plxnb1,SEMA4,Cell-Cell Contact,PMID: 27533782,0.0674633724799866,0.0,0.184658223725613,0.0,0.1171948512456264,1.4526811688656003,Female,shared
Tanycyte,Microglia,JAM2_F11R,Jam2,F11r,Jam2  - F11r,JAM,Cell-Cell Contact,KEGG: mmu04514,0.20112089672165,0.0,0.0874742004271471,0.0,-0.11364669629450291,-1.20113350986715,Female,shared
Microglia,Tanycyte,F11R_JAM2,F11r,Jam2,F11r  - Jam2,JAM,Cell-Cell Contact,KEGG: mmu04514,0.20112089672165,0.0,0.0874742004271471,0.0,-0.11364669629450291,-1.20113350986715,Female,shared
Tanycyte,Microglia,JAM2_ITGAV_ITGB1,Jam2,ITGAV_ITGB1,Jam2  - (Itgav+Itgb1),JAM,Cell-Cell Contact,KEGG: mmu04514,0.155688245604758,0.0,0.0585716172748419,0.0,-0.0971166283299161,-1.4103863899703815,Female,shared
Tanycyte,Microglia,EFNA5_EPHA2,,,,,,,0.0,1.0,0.0864353776815626,0.0,0.0864353776815626,36.330902871918454,Female,gained
Microglia,Tanycyte,LGALS9_CD44,Lgals9,Cd44,Lgals9  - Cd44,GALECTIN,Secreted Signaling,PMID: 25065622,0.132949250905506,0.0,0.0469307328351771,0.0,-0.0860185180703289,-1.502270754720832,Female,shared
Tanycyte,Microglia,GDF11_TGFBR1_ACVR2A,Gdf11,TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350,0.115552409085075,0.0,0.0411349203937246,0.0,-0.0744174886913504,-1.4901117813568594,Female,shared
Tanycyte,Microglia,TNR_ITGA9_ITGB1,Tnr,ITGA9_ITGB1,Tnr  - (Itga9+Itgb1),TENASCIN,ECM-Receptor,KEGG: mmu04512,0.0727117596817963,0.0,0.0,1.0,-0.0727117596817963,-36.081469659154,Female,lost
Microglia,Tanycyte,PSAP_GPR37,,,,,,,0.0,1.0,0.0680505563035135,0.01,0.0680505563035135,35.98588790449683,Female,gained
Tanycyte,Microglia,THBS3_CD47,Thbs3,Cd47,Thbs3  - Cd47,THBS,ECM-Receptor,KEGG: mmu04512,0.0591351850617037,0.0,0.0,1.0,-0.0591351850617037,-35.78329772921126,Female,lost
Tanycyte,Microglia,GAS6_MERTK,Gas6,Mertk,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848,0.307363232410051,0.0,0.258423745019283,0.0,-0.04893948739076798,-0.25020595963305287,Female,shared
Tanycyte,Microglia,TGFB2_ACVR1_TGFBR1,Tgfb2,ACVR1_TGFbR,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829,0.100026727271604,0.0,0.0547174566228509,0.0,-0.0453092706487531,-0.8703124639546592,Female,shared
Tanycyte,Microglia,FGF18_FGFR2,,,,,,,0.0,1.0,0.04118657638635,0.0,0.04118657638635,35.26145515679206,Female,gained
Tanycyte,Microglia,SEMA6A_PLXNA4,Sema6a,Plxna4,Sema6a  - Plxna4,SEMA6,Cell-Cell Contact,PMID: 27533782,0.26174137406403,0.0,0.221088709878051,0.0,-0.04065266418597899,-0.24351663821926825,Female,shared
Microglia,Tanycyte,PTPRM_PTPRM,Ptprm,Ptprm,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,0.241074047675445,0.0,0.201173208543024,0.03,-0.039900839132420984,-0.26103816348568926,Female,shared
Tanycyte,Microglia,PTPRM_PTPRM,Ptprm,Ptprm,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,0.241074047675445,0.0,0.201173208543024,0.03,-0.039900839132420984,-0.26103816348568926,Female,shared
Tanycyte,Microglia,COL9A3_ITGA9_ITGB1,,,,,,,0.0,1.0,0.0386016179087702,0.0,0.0386016179087702,35.167942265317386,Female,gained
Tanycyte,Microglia,JAM3_ITGAM_ITGB2,Jam3,ITGAM_ITGB2,Jam3  - (Itgam+Itgb2),JAM,Cell-Cell Contact,"KEGG: mmu04514; PMID: 16118203, PMC2194005",0.174353188967198,0.0,0.207910283327621,0.0,0.03355709436042298,0.25394836460603937,Female,shared
Tanycyte,Microglia,TGFB2_TGFBR1_TGFBR2,Tgfb2,TGFbR1_R2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350,0.123080531548431,0.0,0.0948058212089425,0.0,-0.0282747103394885,-0.37655502893468884,Female,shared
Microglia,Tanycyte,JAM2_JAM2,Jam2,Jam2,Jam2  - Jam2,JAM,Cell-Cell Contact,KEGG: mmu04514,0.0435296201359069,0.0,0.0164158392112177,0.0,-0.0271137809246892,-1.4069089250405409,Female,shared
Tanycyte,Microglia,JAM2_JAM2,Jam2,Jam2,Jam2  - Jam2,JAM,Cell-Cell Contact,KEGG: mmu04514,0.0435296201359069,0.0,0.0164158392112177,0.0,-0.0271137809246892,-1.4069089250405409,Female,shared
Microglia,Tanycyte,JAM2_ITGAV_ITGB1,,,,,,,0.0,1.0,0.0261429777661056,0.01,0.0261429777661056,34.60570442685327,Female,gained
Microglia,Tanycyte,SEMA4D_PLXNB2,Sema4d,Plxnb2,Sema4d  - Plxnb2,SEMA4,Cell-Cell Contact,PMID: 27533782,0.179380901555223,0.0,0.204731701935718,0.0,0.025350800380495003,0.1907082189497936,Female,shared
Tanycyte,Microglia,APP_CD74,App,Cd74,App  - Cd74,APP,Cell-Cell Contact,PMID: 19849849,0.0370410014718441,0.0,0.0606685574719928,0.0,0.023627556000148695,0.7118259034760975,Female,shared
Microglia,Tanycyte,OSM_LIFR_IL6ST,,,,,,,0.0,1.0,0.0219983921531047,0.0,0.0219983921531047,34.35667903098412,Female,gained
Tanycyte,Microglia,COL4A5_ITGA9_ITGB1,Col4a5,ITGA9_ITGB1,Col4a5  - (Itga9+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.21462845422057,0.0,0.194339655723863,0.0,-0.020288798496707006,-0.14326103487247233,Female,shared
Tanycyte,Microglia,MDK_LRP1,Mdk,Lrp1,Mdk  - Lrp1,MK,Secreted Signaling,PMID: 28356350,0.217371187372123,0.0,0.234020569295044,0.0,0.01664938192292101,0.10647461811479567,Female,shared
Microglia,Tanycyte,VEGFB_VEGFR1,,,,,,,0.0,1.0,0.0147768224860627,0.0,0.0147768224860627,33.782617023838185,Female,gained
Tanycyte,Microglia,COL4A2_SDC4,Col4a2,Sdc4,Col4a2  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0146049014351641,0.02,0.0,1.0,-0.0146049014351641,-33.76573357078347,Female,lost
Microglia,Tanycyte,PDGFB_PDGFRB,,,,,,,0.0,1.0,0.0145441770668102,0.0,0.0145441770668102,33.759722617688844,Female,gained
Tanycyte,Microglia,CX3CL1_CX3CR1,Cx3cl1,Cx3cr1,Cx3cl1  - Cx3cr1,CX3C,Secreted Signaling,KEGG: mmu04060,0.124755086416963,0.0,0.111177655729401,0.0,-0.013577430687562009,-0.16623177006546627,Female,shared
Tanycyte,Microglia,COL9A3_SDC4,,,,,,,0.0,1.0,0.0105194311160603,0.0,0.0105194311160603,33.29233763574836,Female,gained
Tanycyte,Microglia,SEMA4D_PLXNB2,Sema4d,Plxnb2,Sema4d  - Plxnb2,SEMA4,Cell-Cell Contact,PMID: 27533782,0.0618797692547664,0.0,0.0527617504447996,0.0,-0.009118018809966794,-0.22997538827890274,Female,shared
Microglia,Tanycyte,ITGA9_ITGB1_VCAM1,ITGA9_ITGB1,Vcam1,Vcam1 - (Itga9+Itgb1),VCAM,Cell-Cell Contact,KEGG: mmu04514,0.0698969904217338,0.0,0.0607898144713242,0.0,-0.009107175950409607,-0.2014007225988376,Female,shared
Tanycyte,Microglia,MDK_NCL,Mdk,Ncl,Mdk  - Ncl,MK,Secreted Signaling,PMID: 28356350,0.145957452581803,0.0,0.154500570065273,0.0,0.008543117483470003,0.08206428461994407,Female,shared
Microglia,Tanycyte,PROS1_AXL,Pros1,Axl,Pros1  - Axl,PROS,Secreted Signaling,PMID: 29531161,0.0841109254785046,0.0,0.0762743413696157,0.0,-0.007836584108888905,-0.1410953924747087,Female,shared
Tanycyte,Microglia,LAMC1_ITGA6_ITGB1,Lamc1,ITGA6_ITGB1,Lamc1  - (Itga6+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.0470731288218825,0.0,0.0548522430147441,0.0,0.007779114192861598,0.22064686823217577,Female,shared
Tanycyte,Microglia,MDK_ITGA6_ITGB1,Mdk,ITGA6_ITGB1,Mdk  - (Itga6+Itgb1),MK,Secreted Signaling,PMID: 28356350,0.183022508327538,0.0,0.190799897457819,0.0,0.007777389130281004,0.06003931220501895,Female,shared
Tanycyte,Microglia,LAMC1_ITGA9_ITGB1,Lamc1,ITGA9_ITGB1,Lamc1  - (Itga9+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.0461582663265438,0.0,0.0539284502624448,0.0,0.0077701839359009955,0.2244575374828297,Female,shared
Tanycyte,Microglia,COL4A2_ITGA9_ITGB1,Col4a2,ITGA9_ITGB1,Col4a2  - (Itga9+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0553389775342213,0.0,0.0476099197477154,0.0,-0.0077290577865059,-0.21703379130201328,Female,shared
Tanycyte,Microglia,FGF2_FGFR2,Fgf2,Fgfr2,Fgf2  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358,0.0518405796831433,0.0,0.0442948704843195,0.0,-0.007545709198823795,-0.22694221173251866,Female,shared
Microglia,Tanycyte,GRN_SORT1,Grn,Sort1,Grn  - Sort1,GRN,Secreted Signaling,PMID: 29555433,0.232944202903488,0.0,0.23977741661539,0.0,0.006833213711902014,0.04171135753439945,Female,shared
Tanycyte,Microglia,COL4A6_ITGA9_ITGB1,Col4a6,ITGA9_ITGB1,Col4a6  - (Itga9+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0736761192582465,0.0,0.0673653931610893,0.0,-0.0063107260971572016,-0.12918942957396817,Female,shared
Microglia,Tanycyte,F11R_JAM3,F11r,Jam3,F11r  - Jam3,JAM,Cell-Cell Contact,KEGG: mmu04514,0.20748424233117,0.0,0.21365037491833,0.0,0.006166132587160006,0.042250075481955,Female,shared
Tanycyte,Microglia,JAM3_F11R,Jam3,F11r,Jam3  - F11r,JAM,Cell-Cell Contact,KEGG: mmu04514,0.20748424233117,0.0,0.21365037491833,0.0,0.006166132587160006,0.042250075481955,Female,shared
Tanycyte,Microglia,PTN_SDC4,Ptn,Sdc4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.103988173393104,0.0,0.110018548087058,0.0,0.0060303746939539965,0.08132730945246257,Female,shared
Tanycyte,Microglia,PTN_NCL,Ptn,Ncl,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.263197107120881,0.0,0.269209448822392,0.0,0.0060123417015109926,0.03258541507011976,Female,shared
Tanycyte,Microglia,COL4A1_ITGA9_ITGB1,Col4a1,ITGA9_ITGB1,Col4a1  - (Itga9+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0535429784391682,0.0,0.0483509016459805,0.0,-0.0051920767931877,-0.14715460082894657,Female,shared
Tanycyte,Microglia,MDK_SDC4,Mdk,Sdc4,Mdk  - Sdc4,MK,Secreted Signaling,PMID: 28356350,0.0526039958475062,0.0,0.0577773834178936,0.0,0.0051733875703874055,0.1353324774948606,Female,shared
Microglia,Tanycyte,LRRC4_NTNG2,Lrrc4,Ntng2,Lrrc4  - Ntng2,NGL,Cell-Cell Contact,KEGG: mmu04514,0.0179737357015208,0.0,0.0129748980095979,0.0,-0.004998837691922902,-0.4701670947656466,Female,shared
Tanycyte,Microglia,LAMB2_ITGA6_ITGB1,Lamb2,ITGA6_ITGB1,Lamb2  - (Itga6+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.0640652822222278,0.0,0.0592159808039669,0.0,-0.004849301418260905,-0.11355618104246931,Female,shared
Tanycyte,Microglia,COL4A5_SDC4,Col4a5,Sdc4,Col4a5  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0646710079285266,0.0,0.0600349314641244,0.0,-0.004636076464402207,-0.107316915164555,Female,shared
Tanycyte,Microglia,LAMB2_ITGA9_ITGB1,Lamb2,ITGA9_ITGB1,Lamb2  - (Itga9+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.0628419567500434,0.0,0.0582232235240224,0.0,-0.004618733226021007,-0.11013338707912637,Female,shared
Microglia,Tanycyte,GAS6_MERTK,Gas6,Mertk,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848,0.0522672619585052,0.0,0.049615152730206,0.0,-0.0026521092282991987,-0.0751267905092157,Female,shared
Tanycyte,Microglia,THBS3_SDC4,Thbs3,Sdc4,Thbs3  - Sdc4,THBS,ECM-Receptor,KEGG: mmu04512,0.0202783346221207,0.0,0.0178822163753497,0.0,-0.002396118246771002,-0.1814136149294434,Female,shared
Tanycyte,Microglia,FGF10_FGFR2,Fgf10,Fgfr2,Fgf10  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358,0.165862059254436,0.0,0.164407386423833,0.0,-0.0014546728306029932,-0.012708792033011259,Female,shared
Tanycyte,Microglia,COL4A6_SDC4,Col4a6,Sdc4,Col4a6  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0197262420070198,0.0,0.0187663842156861,0.0,-0.000959857791333698,-0.07196543041805793,Female,shared
Tanycyte,Microglia,COL4A1_SDC4,Col4a1,Sdc4,Col4a1  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0141111587588646,0.0,0.0132741616116415,0.0,-0.0008369971472231008,-0.0882157177261352,Female,shared
Microglia,Tanycyte,VSIR_IGSF11,Vsir,Igsf11,Vsir  - Igsf11,VISTA,Cell-Cell Contact,KEGG: mmu04514,0.0874174795987078,0.0,0.0869374162234167,0.0,-0.00048006337529109266,-0.00794456384779008,Female,shared
Microglia,Tanycyte,GAS6_AXL,Gas6,Axl,Gas6  - Axl,GAS,Secreted Signaling,PMID: 27801848,0.0165753640487339,0.0,0.0161915114743641,0.0,-0.0003838525743698022,-0.03380288972335324,Female,shared
Tanycyte,Microglia,RARRES2_CMKLR1,Rarres2,Cmklr1,Rarres2  - Cmklr1,CHEMERIN,Secreted Signaling,PMID: 24671882,0.0192392196321204,0.0,0.0193516051866096,0.0,0.00011238555448920065,0.008402958022024032,Female,shared
Microglia,Tanycyte,JAM2_JAM3,Jam2,Jam3,Jam2  - Jam3,JAM,Cell-Cell Contact,PMC1237098;  PMID: 11590146,0.0451889118320957,0.0,0.0451680807938709,0.0,-2.08310382248042e-05,-0.0006652022206994645,Female,shared
Tanycyte,Microglia,JAM3_JAM2,Jam3,Jam2,Jam3  - Jam2,JAM,Cell-Cell Contact,KEGG: mmu04514,0.0451889118320957,0.0,0.0451680807938709,0.0,-2.08310382248042e-05,-0.0006652022206994645,Female,shared
Microglia,Tanycyte,PSAP_GPR37L1,,,,,,,0.0,1.0,0.242588787547163,0.0,0.242588787547163,37.81972191440702,Male,gained
