age,source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,ARC_ARH,DMH,PVN_PVH,max_region,n_regions_detected,specificity_ratio
aged,Microglia,Microglia,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),Tgfb1,ACVR1B_TGFbR2,TGFb,0.0645272781660704,0.0,0.0,ARC_ARH,1,0.9999999999845026
aged,GABAergic_Neuron,Microglia,SEMA6A_PLXNA4,Sema6a  - Plxna4,Sema6a,Plxna4,SEMA6,0.0,0.0,0.0298027848156322,PVN_PVH,1,0.9999999999664462
aged,Microglia,Microglia,CSF1_CSF1R,Csf1  - Csf1r,Csf1,Csf1r,CSF,0.0,0.0,0.0225371483977668,PVN_PVH,1,0.9999999999556288
aged,Glutamatergic_Neuron,Microglia,TNXB_ITGA9_ITGB1,Tnxb  - (Itga9+Itgb1),Tnxb,ITGA9_ITGB1,TENASCIN,0.0146838168020912,0.0,0.0,ARC_ARH,1,0.9999999999318978
aged,Glutamatergic_Neuron,Microglia,PTN_NCL,Ptn  - Ncl,Ptn,Ncl,PTN,0.0,0.0,0.0138570476407807,PVN_PVH,1,0.9999999999278345
aged,Glutamatergic_Neuron,Microglia,PDYN_OPRM1,Pdyn  - Oprm1,Pdyn,Oprm1,OPIOID,0.0,0.0137302210606618,0.0,DMH,1,0.9999999999271679
aged,Glutamatergic_Neuron,Microglia,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),Tgfb2,TGFbR1_R2,TGFb,0.0,0.0134546268284311,0.0,DMH,1,0.9999999999256761
aged,Microglia,Microglia,PROS1_AXL,Pros1  - Axl,Pros1,Axl,PROS,0.0,0.0126675559477325,0.0,DMH,1,0.9999999999210581
aged,GABAergic_Neuron,Microglia,SEMA6B_PLXNA4,Sema6b  - Plxna4,Sema6b,Plxna4,SEMA6,0.0,0.0,0.0116139396532087,PVN_PVH,1,0.9999999999138965
aged,Glutamatergic_Neuron,Microglia,SEMA6B_PLXNA4,Sema6b  - Plxna4,Sema6b,Plxna4,SEMA6,0.0,0.0,0.0103468109184165,PVN_PVH,1,0.9999999999033519
aged,Glutamatergic_Neuron,Microglia,FGF9_FGFR2,Fgf9  - Fgfr2,Fgf9,Fgfr2,FGF,0.0086398338872543,0.0,0.0,ARC_ARH,1,0.999999999884257
aged,GABAergic_Neuron,Microglia,NAMPT_ITGA5_ITGB1,Nampt  - (Itga5+Itgb1),Nampt,ITGA5_ITGB1,VISFATIN,0.0071977989071835,0.0,0.0,ARC_ARH,1,0.9999999998610686
aged,Glutamatergic_Neuron,Microglia,NAMPT_ITGA5_ITGB1,Nampt  - (Itga5+Itgb1),Nampt,ITGA5_ITGB1,VISFATIN,0.006604164219195,0.0,0.0,ARC_ARH,1,0.9999999998485803
aged,GABAergic_Neuron,Microglia,SEMA3A_NRP1_PLXNA4,Sema3a  - (Nrp1+Plxna4),Sema3a,NRP1_PLXNA4,SEMA3,0.0,0.005865469668572,0.0,DMH,1,0.9999999998295106
aged,GABAergic_Neuron,Microglia,SEMA4G_PLXNB2,Sema4g  - Plxnb2,Sema4g,Plxnb2,SEMA4,0.0,0.0,0.0057384059998493,PVN_PVH,1,0.9999999998257355
aged,Glutamatergic_Neuron,Microglia,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),Tgfb2,ACVR1_TGFbR,TGFb,0.0,0.0057027752829919,0.0,DMH,1,0.9999999998246467
aged,GABAergic_Neuron,Microglia,SEMA3C_NRP1_PLXNA4,Sema3c  - (Nrp1+Plxna4),Sema3c,NRP1_PLXNA4,SEMA3,0.0,0.0049101890420986,0.0,DMH,1,0.9999999997963418
aged,Glutamatergic_Neuron,Microglia,SEMA4G_PLXNB2,Sema4g  - Plxnb2,Sema4g,Plxnb2,SEMA4,0.0,0.0,0.0045627099946081,PVN_PVH,1,0.9999999997808319
aged,Glutamatergic_Neuron,Microglia,TNXB_SDC4,Tnxb  - Sdc4,Tnxb,Sdc4,TENASCIN,0.0042933412629738,0.0,0.0,ARC_ARH,1,0.9999999997670811
aged,GABAergic_Neuron,Microglia,FGF1_FGFR2,Fgf1  - Fgfr2,Fgf1,Fgfr2,FGF,0.0,0.0,0.0042085674057725,PVN_PVH,1,0.9999999997623894
aged,Glutamatergic_Neuron,Microglia,COL2A1_ITGA9_ITGB1,Col2a1  - (Itga9+Itgb1),Col2a1,ITGA9_ITGB1,COLLAGEN,0.0039802360640027,0.0,0.0,ARC_ARH,1,0.9999999997487585
aged,Glutamatergic_Neuron,Microglia,LAMA1_ITGA6_ITGB1,Lama1  - (Itga6+Itgb1),Lama1,ITGA6_ITGB1,LAMININ,0.0037211107273896,0.0,0.0,ARC_ARH,1,0.9999999997312631
aged,GABAergic_Neuron,Microglia,TNXB_ITGA9_ITGB1,Tnxb  - (Itga9+Itgb1),Tnxb,ITGA9_ITGB1,TENASCIN,0.0037072072883357,0.0,0.0,ARC_ARH,1,0.9999999997302552
aged,Glutamatergic_Neuron,Microglia,LAMA1_ITGA9_ITGB1,Lama1  - (Itga9+Itgb1),Lama1,ITGA9_ITGB1,LAMININ,0.0034199797404366,0.0,0.0,ARC_ARH,1,0.9999999997076006
aged,GABAergic_Neuron,Microglia,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),Gdf11,TGFBR1_ACVR2B,GDF,0.0,0.0031061897404584,0.0,DMH,1,0.9999999996780622
aged,Glutamatergic_Neuron,Microglia,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),Gdf11,TGFBR1_ACVR2B,GDF,0.0,0.0026530899106843,0.0,DMH,1,0.999999999623081
aged,GABAergic_Neuron,Microglia,GAS6_AXL,Gas6  - Axl,Gas6,Axl,GAS,0.0,0.0024372358715674,0.0,DMH,1,0.9999999995896991
aged,GABAergic_Neuron,Microglia,COL4A1_ITGA9_ITGB1,Col4a1  - (Itga9+Itgb1),Col4a1,ITGA9_ITGB1,COLLAGEN,0.0,0.0,0.0023294117240585,PVN_PVH,1,0.9999999995707071
aged,Glutamatergic_Neuron,Microglia,SEMA3C_NRP1_PLXNA4,Sema3c  - (Nrp1+Plxna4),Sema3c,NRP1_PLXNA4,SEMA3,0.0,0.0,0.0021245205981448,PVN_PVH,1,0.9999999995293056
aged,Glutamatergic_Neuron,Microglia,COL4A1_ITGA9_ITGB1,Col4a1  - (Itga9+Itgb1),Col4a1,ITGA9_ITGB1,COLLAGEN,0.0,0.0,0.0020659382085237,PVN_PVH,1,0.9999999995159584
aged,Microglia,Microglia,GAS6_AXL,Gas6  - Axl,Gas6,Axl,GAS,0.0,0.0017883225589793,0.0,DMH,1,0.9999999994408167
aged,Microglia,Microglia,CD80_CD274,Cd80  - Cd274,Cd80,Cd274,CD80,0.0,0.0,0.00153360928028,PVN_PVH,1,0.9999999993479435
aged,Microglia,Glutamatergic_Neuron,LRRC4_NTNG2,Lrrc4  - Ntng2,Lrrc4,Ntng2,NGL,0.0,0.0014318404344784,0.0,DMH,1,0.9999999993015981
aged,Glutamatergic_Neuron,Microglia,COL2A1_SDC4,Col2a1  - Sdc4,Col2a1,Sdc4,COLLAGEN,0.0011548874991506,0.0,0.0,ARC_ARH,1,0.9999999991341147
aged,Glutamatergic_Neuron,Microglia,SEMA3C_NRP2_PLXNA4,Sema3c  - (Nrp2+Plxna4),Sema3c,NRP2_PLXNA4,SEMA3,0.0,0.0,0.0010973822242005,PVN_PVH,1,0.9999999990887405
aged,Glutamatergic_Neuron,Microglia,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),Gdf11,TGFBR1_ACVR2A,GDF,0.0,0.0,0.0010797982080804,PVN_PVH,1,0.999999999073901
aged,GABAergic_Neuron,Microglia,TNXB_SDC4,Tnxb  - Sdc4,Tnxb,Sdc4,TENASCIN,0.0010754574252789,0.0,0.0,ARC_ARH,1,0.9999999990701631
aged,Glutamatergic_Neuron,Microglia,EFNA3_EPHA2,Efna3  - Epha2,Efna3,Epha2,EPHA,0.0009198510236878,0.0,0.0,ARC_ARH,1,0.9999999989128674
aged,Microglia,GABAergic_Neuron,CXCL10_ACKR1,Cxcl10  - Ackr1,Cxcl10,Ackr1,CXCL,0.0,0.0008979623390377,0.0,DMH,1,0.9999999988863676
aged,Glutamatergic_Neuron,Microglia,PROS1_AXL,Pros1  - Axl,Pros1,Axl,PROS,0.0,0.0008972280963318,0.0,DMH,1,0.9999999988854562
aged,Glutamatergic_Neuron,Microglia,LAMA1_DAG1,Lama1  - Dag1,Lama1,Dag1,LAMININ,0.0008729326032963,0.0,0.0,ARC_ARH,1,0.9999999988544362
aged,Microglia,Glutamatergic_Neuron,CXCL10_ACKR1,Cxcl10  - Ackr1,Cxcl10,Ackr1,CXCL,0.0,0.0008714908752114,0.0,DMH,1,0.9999999988525411
aged,Glutamatergic_Neuron,Microglia,GAS6_AXL,Gas6  - Axl,Gas6,Axl,GAS,0.0,0.0007774515877488,0.0,DMH,1,0.9999999987137462
aged,GABAergic_Neuron,Microglia,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),Gdf11,TGFBR1_ACVR2A,GDF,0.0,0.0,0.0007520124023594,PVN_PVH,1,0.9999999986702347
aged,Microglia,Microglia,NAMPT_ITGA5_ITGB1,Nampt  - (Itga5+Itgb1),Nampt,ITGA5_ITGB1,VISFATIN,0.0006784265778276,0.0,0.0,ARC_ARH,1,0.9999999985260012
aged,GABAergic_Neuron,Microglia,PROS1_AXL,Pros1  - Axl,Pros1,Axl,PROS,0.0,0.0006151410144519,0.0,DMH,1,0.9999999983743565
aged,Microglia,Glutamatergic_Neuron,GAS6_TYRO3,Gas6  - Tyro3,Gas6,Tyro3,GAS,0.0005902913231124,0.0,0.0,ARC_ARH,1,0.9999999983059212
aged,GABAergic_Neuron,Microglia,COL4A1_SDC4,Col4a1  - Sdc4,Col4a1,Sdc4,COLLAGEN,0.0,0.0,0.00053524826087,PVN_PVH,1,0.9999999981317081
aged,Glutamatergic_Neuron,Microglia,COL4A1_SDC4,Col4a1  - Sdc4,Col4a1,Sdc4,COLLAGEN,0.0,0.0,0.0004746112257818,PVN_PVH,1,0.9999999978930123
aged,Microglia,Glutamatergic_Neuron,CLCF1_CNTFR_LIFR,Clcf1  - (Cntfr+Lifr),Clcf1,CNTFR_LIFR,LIFR,0.0,0.0004618337792689,0.0,DMH,1,0.9999999978347188
aged,Microglia,Glutamatergic_Neuron,CD80_CD274,Cd80  - Cd274,Cd80,Cd274,CD80,0.0,0.0,0.0004559735287337,PVN_PVH,1,0.9999999978068902
aged,Microglia,GABAergic_Neuron,CLCF1_CNTFR_LIFR,Clcf1  - (Cntfr+Lifr),Clcf1,CNTFR_LIFR,LIFR,0.0,0.0004558455909084,0.0,DMH,1,0.9999999978062747
aged,Microglia,Glutamatergic_Neuron,KITL_KIT,Kitl  - Kit,Kitl,Kit,KIT,0.0,0.0002060610178912,0.0,DMH,1,0.9999999951470686
aged,GABAergic_Neuron,Microglia,LAMC1_ITGA6_ITGB1,Lamc1  - (Itga6+Itgb1),Lamc1,ITGA6_ITGB1,LAMININ,0.0142822153843358,0.0,0.0028634410813803,ARC_ARH,2,0.8329932080501592
aged,GABAergic_Neuron,Microglia,LAMC1_ITGA9_ITGB1,Lamc1  - (Itga9+Itgb1),Lamc1,ITGA9_ITGB1,LAMININ,0.0131376968865256,0.0,0.0026731933568911,ARC_ARH,2,0.8309270814883378
aged,GABAergic_Neuron,Microglia,SEMA4A_PLXNB2,Sema4a  - Plxnb2,Sema4a,Plxnb2,SEMA4,0.0274069947528013,0.0,0.006150431580735,ARC_ARH,2,0.8167192108113144
aged,Microglia,Microglia,SEMA4C_PLXNB2,Sema4c  - Plxnb2,Sema4c,Plxnb2,SEMA4,0.0034293327410401,0.0148197120558025,0.0,DMH,2,0.8120815209766203
aged,Glutamatergic_Neuron,Microglia,SEMA4A_PLXNB2,Sema4a  - Plxnb2,Sema4a,Plxnb2,SEMA4,0.0304855145062744,0.0,0.007354550357695,ARC_ARH,2,0.8056411799255792
aged,GABAergic_Neuron,Microglia,CSF1_CSF1R,Csf1  - Csf1r,Csf1,Csf1r,CSF,0.0,0.016556345383564,0.0048994851846584,DMH,2,0.7716478432353706
aged,GABAergic_Neuron,Microglia,SEMA4A_NRP1_PLXNA4,Sema4a  - (Nrp1+Plxna4),Sema4a,NRP1_PLXNA4,SEMA4,0.0276032276896803,0.0,0.0081893516696611,ARC_ARH,2,0.771199734218233
aged,Glutamatergic_Neuron,Microglia,SEMA4A_NRP1_PLXNA4,Sema4a  - (Nrp1+Plxna4),Sema4a,NRP1_PLXNA4,SEMA4,0.0307030936854666,0.0,0.0097887144089734,ARC_ARH,2,0.7582544502112327
aged,Glutamatergic_Neuron,Microglia,TNR_SDC4,Tnr  - Sdc4,Tnr,Sdc4,TENASCIN,0.0,0.0198431031204617,0.0063336281486031,DMH,2,0.7580435813677733
aged,Microglia,GABAergic_Neuron,SEMA4C_PLXNB2,Sema4c  - Plxnb2,Sema4c,Plxnb2,SEMA4,0.000666647475188,0.0020384644936322,0.0,DMH,2,0.7535601174274831
aged,Glutamatergic_Neuron,Microglia,GAS6_MERTK,Gas6  - Mertk,Gas6,Mertk,GAS,0.0509491916817077,0.0171671263371587,0.0,ARC_ARH,2,0.7479733661888207
aged,Microglia,Glutamatergic_Neuron,SEMA4D_PLXNB2,Sema4d  - Plxnb2,Sema4d,Plxnb2,SEMA4,0.0243847658352279,0.0,0.0083378791928514,ARC_ARH,2,0.7451954392304821
aged,Microglia,Glutamatergic_Neuron,PROS1_TYRO3,Pros1  - Tyro3,Pros1,Tyro3,PROS,0.0038139781459833,0.0,0.0013835047916441,ARC_ARH,2,0.733812537918697
aged,Glutamatergic_Neuron,Microglia,IL34_CSF1R,Il34  - Csf1r,Il34,Csf1r,CSF,0.0142538049546679,0.0,0.0052231362105625,ARC_ARH,2,0.7318297484710535
aged,GABAergic_Neuron,Microglia,IL34_CSF1R,Il34  - Csf1r,Il34,Csf1r,CSF,0.0176880507654523,0.0,0.0071805257547712,ARC_ARH,2,0.7112610868722965
aged,Glutamatergic_Neuron,Microglia,TNR_ITGA9_ITGB1,Tnr  - (Itga9+Itgb1),Tnr,ITGA9_ITGB1,TENASCIN,0.0,0.0658236658236801,0.0270382780347775,DMH,2,0.7088335984362041
aged,GABAergic_Neuron,Microglia,TNR_SDC4,Tnr  - Sdc4,Tnr,Sdc4,TENASCIN,0.0,0.0205029228431269,0.0087297090752566,DMH,2,0.7013710876143134
aged,Microglia,Microglia,APP_CD74,App  - Cd74,App,Cd74,APP,0.0,0.0115202384255424,0.0049656495495502,DMH,2,0.698793928616326
aged,Glutamatergic_Neuron,Microglia,LAMB3_ITGA9_ITGB1,Lamb3  - (Itga9+Itgb1),Lamb3,ITGA9_ITGB1,LAMININ,0.0091225110901091,0.0041141000639733,0.0,ARC_ARH,2,0.6891878127436245
aged,Glutamatergic_Neuron,Microglia,LAMC1_ITGA6_ITGB1,Lamc1  - (Itga6+Itgb1),Lamc1,ITGA6_ITGB1,LAMININ,0.0176320123705204,0.0,0.0087944832065114,ARC_ARH,2,0.6672096312754309
aged,Glutamatergic_Neuron,Microglia,LAMB3_ITGA6_ITGB1,Lamb3  - (Itga6+Itgb1),Lamb3,ITGA6_ITGB1,LAMININ,0.0099207545022473,0.0049529297168064,0.0,ARC_ARH,2,0.6670004792001347
aged,Glutamatergic_Neuron,Microglia,LAMC1_ITGA9_ITGB1,Lamc1  - (Itga9+Itgb1),Lamc1,ITGA9_ITGB1,LAMININ,0.0162234729172035,0.0,0.0082134214696069,ARC_ARH,2,0.6638925822462974
aged,Glutamatergic_Neuron,Microglia,PTN_SDC4,Ptn  - Sdc4,Ptn,Sdc4,PTN,0.0,0.00825460200517,0.0044760880325824,DMH,2,0.6484017739841968
aged,GABAergic_Neuron,Microglia,TNR_ITGA9_ITGB1,Tnr  - (Itga9+Itgb1),Tnr,ITGA9_ITGB1,TENASCIN,0.0,0.0679064971698292,0.0369756858183327,DMH,2,0.6474550322512488
aged,GABAergic_Neuron,Microglia,APP_CD74,App  - Cd74,App,Cd74,APP,0.0,0.0199378409720613,0.0108833494500734,DMH,2,0.6468874400482518
aged,Microglia,Microglia,TNF_TNFRSF1A,Tnf  - Tnfrsf1a,Tnf,Tnfrsf1a,TNF,0.0,0.0192011084037329,0.0109242500960356,DMH,2,0.6373736067985076
aged,Glutamatergic_Neuron,Microglia,APP_CD74,App  - Cd74,App,Cd74,APP,0.0,0.0219598520444981,0.0128788042177115,DMH,2,0.6303300528754375
aged,Microglia,Microglia,TNFSF13B_TNFRSF13B,Tnfsf13b  - Tnfrsf13b,Tnfsf13b,Tnfrsf13b,BAFF,0.0,0.0020049990441026,0.0012057214446446,DMH,2,0.624470130771323
aged,GABAergic_Neuron,Microglia,PTN_SDC4,Ptn  - Sdc4,Ptn,Sdc4,PTN,0.0,0.0051572056399782,0.0033189159205901,DMH,2,0.6084393200967714
aged,GABAergic_Neuron,Microglia,EFNA5_EPHA2,Efna5  - Epha2,Efna5,Epha2,EPHA,0.0256833217578405,0.0167089392629566,0.0,ARC_ARH,2,0.6058493021788751
aged,GABAergic_Neuron,Microglia,PTPRM_PTPRM,Ptprm  - Ptprm,Ptprm,Ptprm,PTPRM,0.0,0.0562291813114158,0.0369595789248067,DMH,2,0.603390163881117
aged,Microglia,GABAergic_Neuron,PTPRM_PTPRM,Ptprm  - Ptprm,Ptprm,Ptprm,PTPRM,0.0,0.0562291813114158,0.0369595789248067,DMH,2,0.603390163881117
aged,Microglia,Glutamatergic_Neuron,SEMA4C_PLXNB2,Sema4c  - Plxnb2,Sema4c,Plxnb2,SEMA4,0.0007285802667429,0.0010855821936261,0.0,DMH,2,0.5983930418265296
aged,Microglia,Microglia,OSM_LIFR_IL6ST,Osm  - (Lifr+Il6st),Osm,LIFR_IL6ST,OSM,0.0014895551863456,0.0022062179212474,0.0,DMH,2,0.5969570794586248
aged,Microglia,GABAergic_Neuron,SEMA4D_PLXNB2,Sema4d  - Plxnb2,Sema4d,Plxnb2,SEMA4,0.0223569347193081,0.0151064266565206,0.0,ARC_ARH,2,0.5967679860445195
aged,Glutamatergic_Neuron,Microglia,EFNA5_EPHA2,Efna5  - Epha2,Efna5,Epha2,EPHA,0.027813064228425,0.0196612584834908,0.0,ARC_ARH,2,0.5858548924776595
aged,Microglia,GABAergic_Neuron,OSM_LIFR_IL6ST,Osm  - (Lifr+Il6st),Osm,LIFR_IL6ST,OSM,0.0005014165959233,0.0003829698665633,0.0,ARC_ARH,2,0.5669654801663496
aged,GABAergic_Neuron,Microglia,EFNA3_EPHA2,Efna3  - Epha2,Efna3,Epha2,EPHA,0.000810066345482,0.0006816206082282,0.0,ARC_ARH,2,0.5430538511610011
aged,Microglia,GABAergic_Neuron,SEMA4D_PLXNB1,Sema4d  - Plxnb1,Sema4d,Plxnb1,SEMA4,0.0068752751033137,0.0058064110071522,0.0,ARC_ARH,2,0.5421420340231851
aged,GABAergic_Neuron,Microglia,GAS6_MERTK,Gas6  - Mertk,Gas6,Mertk,GAS,0.0448994910767723,0.0519964955621289,0.0,DMH,2,0.5366217669609553
aged,Glutamatergic_Neuron,Microglia,GRN_SORT1,Grn  - Sort1,Grn,Sort1,GRN,0.003865319220759,0.0034166170182585,0.0,ARC_ARH,2,0.5308092646454854
aged,GABAergic_Neuron,Microglia,GRN_SORT1,Grn  - Sort1,Grn,Sort1,GRN,0.0032789735598882,0.0036171831672217,0.0,DMH,2,0.5245216009197485
aged,Microglia,Glutamatergic_Neuron,SEMA4D_PLXNB1,Sema4d  - Plxnb1,Sema4d,Plxnb1,SEMA4,0.007813121452823,0.0071511189109785,0.0,ARC_ARH,2,0.5221194836726109
aged,Glutamatergic_Neuron,Microglia,CSF1_CSF1R,Csf1  - Csf1r,Csf1,Csf1r,CSF,0.0,0.0175398479461456,0.0186194665801102,PVN_PVH,2,0.514928637988295
