cell_label,x,y,z,parcellation_index,analysis_region,cluster_alias,average_correlation_score
1018093344102150078-3,10.264584306749589,2.1571131714310248,2.1182375388409564,740,DMH,5283,0.567536563698317
1018093344102010421-4,10.249919230761105,2.305180844356969,2.1307577131711146,740,DMH,5283,0.625780430054178
1018093344101870301-2,10.263752719255134,2.368776918203195,2.8216369363699303,740,DMH,5283,0.511514715620822
1018093344102010349-3,10.298080162100325,1.9028583476746497,2.3798743216003166,740,DMH,5283,0.51726741422922
1018093344102150124-3,10.237665203245935,2.3823319042106097,1.9801998814129709,740,DMH,5283,0.619816197076483
1018093344102290611-2,10.093480033998658,2.0305947517697165,2.01909485972383,740,DMH,5283,0.632442851072527
1018093344102290565-2,10.093409719323706,2.0524966626250056,2.09241909927811,740,DMH,5283,0.593790533946016
1018093343102350561,9.65425999519945,4.564655026304871,1.9877990603750908,733,ARC_ARH,5283,0.695142014062569
1018093343102340910,9.74868649303264,3.665259352693342,2.0939310702321823,733,ARC_ARH,5283,0.572189536816012
1018093343102490245,9.75639797260876,3.562777697022801,2.002263789112354,733,ARC_ARH,5283,0.505538698092548
1018093343102480112,9.773330386483192,3.446681685599499,2.1774938050445387,733,ARC_ARH,5283,0.524902652825342
1018093343102340642-1,9.727488004972974,3.896421599138985,2.1712364009055665,733,ARC_ARH,5283,0.51168690397422
1018093343102490156-1,9.752215780629433,3.61948584860815,2.0558992344573044,733,ARC_ARH,5283,0.517949403133182
1018093343102490155-1,9.72536213011556,3.8545597686915927,1.954137354946894,733,ARC_ARH,5283,0.583625554748515
1018093343100460468,10.114863543167251,2.197234081720856,9.487639662933224,740,DMH,5283,0.566728739844634
1018093343100460384,10.103605729281815,2.327826498016853,9.555769591361312,740,DMH,5283,0.598866999820123
1017092617102940230,9.829977113170251,3.2181267703821903,9.480631723745526,733,ARC_ARH,5283,0.556312586908043
1017092617102960410,9.949599259003463,2.0229066176262385,9.422079363356826,740,DMH,5283,0.578916492714301
1017092617100730581,9.595650660723994,3.4237362170191443,2.212454090946008,733,ARC_ARH,5283,0.654825525638544
1017092617100730622,9.576442721105089,3.632750967718249,2.280961872589856,733,ARC_ARH,5283,0.603942319653947
1017092617100700141,9.417633060508,5.218530728707407,2.355300086136338,733,ARC_ARH,5283,0.56943248942077
1017092617100720120,9.512456507010915,4.21189037527833,2.1042180696604023,733,ARC_ARH,5283,0.515901505524243
1017092617102960448,9.948145873623012,2.067467991806033,9.526626649631387,740,DMH,5283,0.639856667078854
1017092617100730686,9.599766472776096,3.397335066144465,2.2613335874030787,733,ARC_ARH,5283,0.54069634040387
1017092617102760420,9.71691602946313,4.316920431714173,9.42926464616507,733,ARC_ARH,5283,0.63927415423595
1017092617102760325,9.726079270637625,4.191172967358347,9.30657163712814,733,ARC_ARH,5283,0.507123618588955
1017092617102960440,9.942802143283934,2.119566564364977,9.524777304271872,740,DMH,5283,0.615957163504624
1017092617102760352,9.72155241023793,4.248866918434114,9.35186183682712,733,ARC_ARH,5283,0.543483999409096
1017092617200710136,9.475653271086808,4.598602459075421,2.187890356715292,733,ARC_ARH,5283,0.524557540057984
1017092617102760373,9.715043590661136,4.317999082220672,9.369238409540976,733,ARC_ARH,5283,0.601308719736512
1017092617102760463,9.749614602763288,3.978842554961453,9.373948490229482,733,ARC_ARH,5283,0.528738908350695
1017092617102940028,9.825192189444364,3.215521176583228,9.308696495183312,733,ARC_ARH,5283,0.545318493009482
1017092617100740794,9.609108680979332,3.3082505707409364,2.271488878436988,733,ARC_ARH,5283,0.504074672098656
1017092617100550636,9.437235710367515,4.970437773794194,2.165144898090352,733,ARC_ARH,5283,0.560352970136368
1017092617100730225,9.557501232780458,3.77290995847384,2.1205205646817804,733,ARC_ARH,5283,0.671404567497792
1017092617100540606,9.39480330594432,5.431686850660887,2.31479675195014,733,ARC_ARH,5283,0.532893413434567
1017092617102770504,9.788226319047723,3.5708820425164123,9.278438672733715,733,ARC_ARH,5283,0.620154622635143
1017092617100710257,9.444370818226313,4.956278805593009,2.3591395717886723,733,ARC_ARH,5283,0.618023747330889
1017092617100720711,9.54637378649909,3.9579995326155473,2.381436638862097,733,ARC_ARH,5283,0.540134592906516
1017092617100560812,9.492970692194524,4.399035702506925,2.0876668797083915,733,ARC_ARH,5283,0.61184790414766
1017092617100550552,9.435676211964442,4.976815482607749,2.13409572336071,733,ARC_ARH,5283,0.572828980906639
1017092617100890100,9.592378709738885,3.510605659502615,2.4013547091361214,733,ARC_ARH,5283,0.545680342979161
1017092617102960399,9.954260493075672,1.965023991246665,9.380682967776725,740,DMH,5283,0.632566718507274
1017092617100700090,9.409557901149778,5.300704707856494,2.364401345337725,733,ARC_ARH,5283,0.603671824049204
1017092617102770567,9.775727647681638,3.719632488027236,9.367062733164452,733,ARC_ARH,5283,0.627083208778862
1017092617100550673,9.47383013328368,4.588302184596812,2.090198921879385,733,ARC_ARH,5283,0.543461754334988
1017092617102930128,9.797420350252006,3.541926220099877,9.491396814777495,733,ARC_ARH,5283,0.64803204892435
1017092617100710475,9.482139381735823,4.6020260032045925,2.4205769396404744,733,ARC_ARH,5283,0.562692456600123
1017092617100730430,9.548209140244586,3.904039136630753,2.257410621552725,733,ARC_ARH,5283,0.507927034517898
1017092617100710149,9.445283316731546,4.925818302884744,2.28491283637734,733,ARC_ARH,5283,0.590214740076996
1017092617100730749,9.578481366489056,3.6323942243813634,2.349148459430949,733,ARC_ARH,5283,0.514548135434624
1017092617102930068,9.801412470527897,3.481298159292728,9.417732453797464,733,ARC_ARH,5283,0.544464590081647
1017092617200740617,9.646218198747802,2.922939610557173,2.203100775609564,733,ARC_ARH,5283,0.516668466827913
1104095349102790314,9.700831971646751,2.564364609209501,8.987563037515276,733,ARC_ARH,5283,0.618670629255829
1104095349102790076,9.694079693524712,2.58467583157692,8.827867465726275,733,ARC_ARH,5283,0.511699589907197
1104095349102750263,9.4654522666281,4.984298445299327,9.338234321107825,733,ARC_ARH,5283,0.598711799196211
1104095349102760170,9.52063897128478,4.389208360558107,9.160206519169474,733,ARC_ARH,5283,0.518876791272347
1104095349102760369,9.527438124540357,4.353560456050317,9.268472470177668,733,ARC_ARH,5283,0.578688823397081
1104095349102600774,9.50674152949473,4.483966992975339,9.014556349414017,733,ARC_ARH,5283,0.601507207099532
1104095349102750084,9.452477388268704,5.074221102708608,9.20727795029678,733,ARC_ARH,5283,0.501549340720047
1104095349102600866,9.511922489944569,4.450615819765273,9.075671836951328,733,ARC_ARH,5283,0.59437481279763
1104095349102790515,9.678079343910312,2.83219212946296,9.138683574412935,733,ARC_ARH,5283,0.544080688144512
1104095349102590465,9.43245006895413,5.195978979460262,8.946239995357821,733,ARC_ARH,5283,0.577858300558382
1104095349102770650,9.558218931474938,4.0613596465110176,9.306481721308128,733,ARC_ARH,5283,0.599808198250156
1104095349102770100,9.566411435760436,3.900680570055421,9.02997892861161,733,ARC_ARH,5283,0.629972146018101
1104095349102770358,9.55307871364288,4.082872317189216,9.205808231969398,733,ARC_ARH,5283,0.550380385879671
1104095349102590783,9.450480178578948,5.082359254435219,9.167406023930107,733,ARC_ARH,5283,0.559961240963496
1104095349102590627,9.44966448176354,5.051568296901962,9.033185638794434,733,ARC_ARH,5283,0.543255852888251
1104095349102630684,9.692081274489263,2.5643817250557044,8.689658077734123,733,ARC_ARH,5283,0.506911406186272
1104095349102780272,9.634188398170874,3.2377504582647094,9.046145206237576,733,ARC_ARH,5283,0.519472303436156
1104095349102770275,9.549506437333164,4.105926982397391,9.1638732796373,733,ARC_ARH,5283,0.577391511647691
1104095349100520486,9.188704531275912,5.687689671874543,2.3463876562662525,733,ARC_ARH,5283,0.691981843162659
1104095349100890265-1,9.483906225258714,2.866543400363407,2.645746659805569,733,ARC_ARH,5283,0.563311054953814
1104095349102760379,9.497549895493648,4.662096157972386,9.31736307624591,733,ARC_ARH,5283,0.617832419818172
1104095349100890339,9.490481066758496,2.8122823642676225,2.6820423088842853,733,ARC_ARH,5283,0.666049289561287
1104095349102590616,9.440020468301508,5.14954236597265,9.04349025224558,733,ARC_ARH,5283,0.505245369554646
1104095349102780202,9.62196395428646,3.3573438801788265,9.043307820156157,733,ARC_ARH,5283,0.56749676559662
1104095349102630626,9.691989917228147,2.554791193106031,8.653404715999814,733,ARC_ARH,5283,0.603401245661047
1019171912100520256,8.986381563900641,5.905390740488549,2.3741349468397503,733,ARC_ARH,5283,0.620089138893186
1019171912102580344,9.212383940890977,5.599085142954143,9.010775386229357,733,ARC_ARH,5283,0.588230590130469
1019171912100520197,8.986477965196906,5.880542818621222,2.291531173352579,733,ARC_ARH,5283,0.531722159905542
1018093344101540349-3,8.611713525761598,5.023667353064812,5.061623355199165,739,DMH,5283,0.501237656739403
1018093344101990129-5,8.659061904832779,4.940670713308834,6.386943849017597,739,DMH,5283,0.513058585410627
1018093345101690525,8.25824114420878,4.986729128001348,5.226782116445429,739,DMH,5283,0.52082252289575
1018093345100190202,8.643642871617871,2.715462365828212,10.498389083063683,725,PVN_PVH,5283,0.555479993574493
1018093345101690558,8.269026433373494,4.880077953683349,5.225360106195392,739,DMH,5283,0.530829148589402
1018093345103280081,8.340634414890337,2.892607442521771,0.7931676907397206,725,PVN_PVH,5283,0.574425509905893
1018093345101700569,8.212150112612232,5.407451093195247,5.111754245461295,739,DMH,5283,0.533158226073084
1018093345100190173,8.650352649685233,2.6601654666074994,10.535697837953476,725,PVN_PVH,5283,0.661379158580547
1018093345101700525,8.233819140585481,5.216772190309873,5.190444283207304,739,DMH,5283,0.606811795786448
1018093345101860180,8.215235647624649,5.325375016798367,4.933097314035934,739,DMH,5283,0.586610976433371
1018093345101860441,8.224263047124483,5.173478068284838,4.715386985700494,739,DMH,5283,0.582149630255831
1018093345101380401,8.248099918554209,5.390484166901997,6.277206453215082,739,DMH,5283,0.611570552607353
1018093345102020220,8.22311156872391,5.089313804792512,4.38524630910952,739,DMH,5283,0.560107834871006
1104095349102120294-1,8.111551674654029,5.1370684863122,6.91602759392191,739,DMH,5283,0.539061264278318
1104095349100250116,8.186132636988553,2.642215611664063,0.8311134170690064,725,PVN_PVH,5283,0.648488881247937
1104095349100240079,8.137302695759672,3.066786136288969,0.6361260438990956,725,PVN_PVH,5283,0.52300469831576
1104095349102120101-1,8.099172600954564,5.200308144230587,6.713129361013764,739,DMH,5283,0.523790532773255
1104095349101620760-1,7.97138861414428,6.1677004252676175,5.706192050263684,722,PVN_PVH,5283,0.601014946029595
1104095349101620881,7.987995407640117,6.015101211314514,5.744145569123252,722,PVN_PVH,5283,0.551199824611531
1104095349101960453-2,8.091431314111066,5.217659336957212,6.509522238121658,739,DMH,5283,0.643118620680452
1104095349103450053,8.497366234656983,2.34765806184903,10.410516384623875,725,PVN_PVH,5283,0.580830148571416
1104095349100250091,8.189968922172001,2.5960090098551265,0.8020068094870485,725,PVN_PVH,5283,0.568999429524863
1104095349101960357-1,8.111384749579043,4.992480576743131,6.410519127430908,739,DMH,5283,0.574716021420396
1104095349101780163-1,7.956711704246243,6.351485509890591,5.841766949083962,722,PVN_PVH,5283,0.553048434933019
1104095349103440217,8.459047128410143,2.7770421713282194,10.590061130793638,725,PVN_PVH,5283,0.628419620244392
1104095349102120195-2,8.106456627130253,5.1575920562987685,6.813487059400481,739,DMH,5283,0.65558069462341
1104095349103290609,8.49133230297599,2.3924879430947743,10.360031798719058,725,PVN_PVH,5283,0.53728092305966
1104095349103450139,8.484254484871332,2.5179516000995776,10.552734715297788,725,PVN_PVH,5283,0.50915381964861
1104095349101950500-1,8.070535043550167,5.440187792400328,6.567255618049982,739,DMH,5283,0.531383392887118
1018093344101830332-4,7.79214481011121,6.19061074933949,5.846436539844442,722,PVN_PVH,5283,0.567306814168249
1018093344101830160-3,7.783637514421549,6.249389395643101,5.7599402111297255,722,PVN_PVH,5283,0.579617989300142
1018093344101830331-7,7.809155523215881,6.027023912304302,5.860160680731476,722,PVN_PVH,5283,0.585926551618007
1018093344100380299-2,8.06941035993824,2.108602375429345,1.1763966318940655,725,PVN_PVH,5283,0.585270259351939
1018093344103240420,8.28595403749546,2.704777197391759,10.610741120243253,725,PVN_PVH,5283,0.642572003339275
1018093344103240249,8.296783122173155,2.555044735167635,10.461859712149645,725,PVN_PVH,5283,0.588781036893256
1018093344100220135-1,7.965411696917166,3.003610780753048,0.7291324312410621,725,PVN_PVH,5283,0.51523258039668
1018093344103240494,8.25895482218221,2.999946437708321,10.711771536772906,725,PVN_PVH,5283,0.583642520610648
1018093344103240407,8.271655920708998,2.838378293180842,10.585730119906618,725,PVN_PVH,5283,0.717797979800073
1018093344100380095-1,8.054987488252758,2.198441568071265,0.9958456681629988,725,PVN_PVH,5283,0.589749240383773
1018093344103240477,8.264211159263944,2.9414277344820885,10.6884487778463,725,PVN_PVH,5283,0.560069152719251
1018093344103910614,7.577743196038478,3.231758514772382,0.6462706685646313,725,PVN_PVH,5283,0.561008876888328
1018093344201470230,7.67471380785785,4.205908997550772,7.315702309096699,723,PVN_PVH,5283,0.535283864144326
1018093344102890091-1,7.625847149209545,3.658923285972582,3.760893827429306,723,PVN_PVH,5283,0.538299999283522
1018093344102890245-3,7.630002546787406,3.583918103940708,3.643122222642684,723,PVN_PVH,5283,0.578093483962554
1018093344101470209-5,7.66672002081799,4.296093803312792,7.355258486115284,723,PVN_PVH,5283,0.508352581773063
1018093344102690453,7.606201223809376,3.8888619065979846,3.88680978454472,723,PVN_PVH,5283,0.603033575352822
1018093344102700533,7.594445093412207,3.97215768088543,3.774460015208573,723,PVN_PVH,5283,0.505546758774437
1018093344102900076-2,7.591240337200071,3.966619823918973,3.646188052191361,723,PVN_PVH,5283,0.522763589071688
1018093344102700300,7.600297285398933,3.975446829978616,3.985101704602282,723,PVN_PVH,5283,0.549576806195344
1018093344102890170-2,7.626803171916646,3.630139079282384,3.6939626072685168,723,PVN_PVH,5283,0.673569425936095
1018093344102690531,7.616762100423287,3.7723376227309338,3.843609972769524,723,PVN_PVH,5283,0.601607945166581
1018093344101460047-3,7.707788573814809,3.969077896479656,7.623213309295295,723,PVN_PVH,5283,0.584696363627376
1018093344101460187-7,7.705202185512872,3.964193622681264,7.518258056247321,723,PVN_PVH,5283,0.588880709470323
1018093344104100115,7.64004045978392,2.6794188447342795,0.858146928262619,725,PVN_PVH,5283,0.611465839556075
1018093344101460213-5,7.700435254841002,4.001132562024874,7.483647341959075,723,PVN_PVH,5283,0.506274558968037
1018093344102700280,7.592891936669239,4.04302809257669,3.9665626763821416,723,PVN_PVH,5283,0.593284410478718
1018093344104110099,7.637179041997367,2.700781718491721,0.8345623503770254,725,PVN_PVH,5283,0.574141007341623
1018093344102690619,7.615682637608427,3.758744710380014,3.759857755699023,723,PVN_PVH,5283,0.57182505751478
1018093344101470183-6,7.675333541121844,4.230539819190225,7.421957965841621,723,PVN_PVH,5283,0.586777552297002
1018093344101470280-4,7.673781823252587,4.209810723709674,7.2974547291915295,723,PVN_PVH,5283,0.519764964680614
1018093344101460212-4,7.714670315001894,3.872889602215392,7.525019905313573,723,PVN_PVH,5283,0.529167759913532
1018093344104100188,7.660365480932137,2.483307191987856,0.8722962291896181,725,PVN_PVH,5283,0.569215681838816
1018093344102440709-2,7.565840305195978,3.5800476506994183,7.609355571205424,723,PVN_PVH,5283,0.585503308953775
1018093344101320608-2,7.38615562862136,4.343533023554908,4.130296200589682,723,PVN_PVH,5283,0.512170275716311
1018093344101500050-2,7.390352731762576,4.319148736090997,4.188908303974169,723,PVN_PVH,5283,0.547017379314793
1018093344102420487,7.483616350505428,4.288478244448897,7.258566890040694,723,PVN_PVH,5283,0.513258773179037
1018093344102430576-2,7.505811132386627,4.1027928297783465,7.372403694905174,723,PVN_PVH,5283,0.647337727358513
1018093344102620327-2,7.550701961338657,3.785790194867183,7.805126377694742,723,PVN_PVH,5283,0.644375086184481
1018093344100060132,7.412808845192033,3.090560054971033,0.706444001536019,725,PVN_PVH,5283,0.594183124085647
1018093344100060077,7.437549477195216,2.85201015811232,0.7242399709585121,725,PVN_PVH,5283,0.648949894864635
1018093344100070074,7.457201131687535,2.674604966707964,0.7801214139182142,725,PVN_PVH,5283,0.519162125350955
1018093344101330051-2,7.440616934057626,3.720864834400621,3.832237716377573,723,PVN_PVH,5283,0.563821059481459
1018093344102610151-3,7.503146553599426,4.1717924162107,7.520195916613606,723,PVN_PVH,5283,0.676449268995884
1018093344100060112,7.41370572981354,3.073113281306904,0.676680773934019,725,PVN_PVH,5283,0.634610916416987
1018093344101320471-3,7.3926253244414175,4.2522346759134,4.034977797708918,723,PVN_PVH,5283,0.682730341780218
1018093344100060144,7.426796594221677,2.963864277000431,0.7447753060608743,725,PVN_PVH,5283,0.597566763920476
1018093344102620246-2,7.550600892395209,3.769882665021389,7.746673467624588,723,PVN_PVH,5283,0.51726120978843
1018093344103550460,7.694616031719457,3.2181193584730154,10.74307237072952,725,PVN_PVH,5283,0.569744546645712
1018093344103380277,7.782684918565882,2.2175714120553702,10.283103217924875,725,PVN_PVH,5283,0.709756808517705
1018093344103380339,7.789852988667577,2.1759354544766727,10.383229252707851,725,PVN_PVH,5283,0.633745398717402
1018093344101320364-5,7.368309366143841,4.450141321694434,3.891149192805268,723,PVN_PVH,5283,0.564021358846505
1018093344100070164,7.472994772478041,2.553717584233246,0.9000062271157191,725,PVN_PVH,5283,0.553364292170115
1018093344102420420-1,7.484804809783124,4.258606779291942,7.195765627926745,723,PVN_PVH,5283,0.615334302322399
1018093344103560044,7.75177532921874,2.582805125911957,10.493167445361252,725,PVN_PVH,5283,0.514125330175764
1018093344101150227-5,7.445115760713687,3.586393295345063,3.520559197560142,723,PVN_PVH,5283,0.578580099040435
1018093344102610227-2,7.540564404409581,3.861457108474082,7.721501685332932,723,PVN_PVH,5283,0.619516082790364
1018093344102610047-2,7.4879042583036926,4.279899324152944,7.374900904429654,723,PVN_PVH,5283,0.526464809494144
1018093344101150489-5,7.453621982090746,3.547113016436682,3.674412483180255,723,PVN_PVH,5283,0.540113405656222
1018093344103380484,7.774965886308694,2.3464438321994594,10.46574570611428,725,PVN_PVH,5283,0.587030761497963
1018093344102420508-1,7.466448536978942,4.452585126536818,7.241285730074805,723,PVN_PVH,5283,0.557828901143904
1018093344201150175-2,7.424096605464377,3.754205861878684,3.3849674488128323,723,PVN_PVH,5283,0.50663228922407
1018093344101150425-5,7.420112910101722,3.82223014515665,3.484480552965371,723,PVN_PVH,5283,0.581050949924195
1018093344101150519-6,7.445650500670506,3.626682206548502,3.678050041740714,723,PVN_PVH,5283,0.535790455475375
1018093344102610068-2,7.499211618297347,4.1814431926348,7.419579102263478,723,PVN_PVH,5283,0.563707796476351
1018093344102430626-1,7.519756360078809,3.9903757510311055,7.458630321680857,723,PVN_PVH,5283,0.51911430222742
1018093344102620334-1,7.555901225019106,3.730975378711072,7.792673343154896,723,PVN_PVH,5283,0.539831052491842
1019171907102770500,7.367897938244347,3.872394746471615,8.044307224212695,723,PVN_PVH,5283,0.603757454316071
1019171907102780167,7.394518508796956,3.5301045127949315,7.767495662761363,723,PVN_PVH,5283,0.582423525608132
1019171907102780107,7.396124234521649,3.509409961510229,7.750633042737616,723,PVN_PVH,5283,0.661310311356456
1019171907102780296,7.392964130702291,3.5780010076920084,7.880148873800064,723,PVN_PVH,5283,0.577948329418429
1019171907102770570,7.325667497384623,4.180735809915664,7.672248637705467,723,PVN_PVH,5283,0.626523055692871
1019171907103490145,7.531368998397778,3.0309740707209416,10.701883730899944,725,PVN_PVH,5283,0.526606595155553
1019171907103270097,7.593690304730908,2.3412421156758865,10.439621881025232,725,PVN_PVH,5283,0.614476470903657
1019171907101600480-1,7.212883179477663,4.13773173612366,3.683224443438516,723,PVN_PVH,5283,0.502955894984914
1019171907101830408,7.214197130770988,4.3071747050566485,4.313713129194004,723,PVN_PVH,5283,0.573995703797238
1019171907103270151,7.582712988856302,2.4457014661996888,10.42694670509963,725,PVN_PVH,5283,0.624042601173548
1019171907103270086,7.586743212449432,2.3878856897433685,10.36430480042208,725,PVN_PVH,5283,0.572361153202889
1019171907103490031,7.554939527591255,2.782380436055253,10.645108638744093,725,PVN_PVH,5283,0.568698840212051
1019171907101830227-1,7.1960898391452455,4.389894002807968,3.9831044006411744,723,PVN_PVH,5283,0.531242775973895
1019171907101820262,7.180722278791657,4.510997512353752,3.87848117463088,723,PVN_PVH,5283,0.545937007895576
1019171907103490162,7.5241899537359505,3.099292036024909,10.693600722499,725,PVN_PVH,5283,0.583668708452522
1019171907102750295,7.284792173780334,4.4168264267870345,7.096570055824456,723,PVN_PVH,5283,0.608676717637938
1019171907101600547-1,7.203905146596919,4.2259788268964655,3.6825797813382,723,PVN_PVH,5283,0.638357385590926
1019171907102980036,7.286148034060382,4.495578117489131,7.414974870147981,723,PVN_PVH,5283,0.522485275544402
1019171907102770223,7.359204050256771,3.816118605976901,7.553753016465213,723,PVN_PVH,5283,0.538618840787344
1019171907101830379,7.185088317386535,4.523225767897583,4.069411036787966,723,PVN_PVH,5283,0.523740441839939
1019171907103490180,7.522239633106913,3.136414362521624,10.7555265995842,725,PVN_PVH,5283,0.596553383124038
1019171907102050116-1,7.1939313215672085,4.535406478795566,4.412626920375736,723,PVN_PVH,5283,0.509026109873379
1019171907103270237,7.579427009164317,2.499894320252928,10.502403802839924,725,PVN_PVH,5283,0.631467846454092
1017092617102550059,7.104184358497973,4.549674246598827,7.570412242255554,723,PVN_PVH,5283,0.514945443498494
1017092617102240339,6.996196567106487,4.649619279728877,4.238870844337583,723,PVN_PVH,5283,0.51336216811267
1017092617102240532,6.975266437471837,4.863428566004821,4.265311885547426,723,PVN_PVH,5283,0.533590738973918
1017092617102060591,7.159185620816365,3.9422556172583416,7.343436732524906,723,PVN_PVH,5283,0.613088609967909
1017092617102310026-1,7.1784663907378095,3.896234731233428,7.840874228811892,723,PVN_PVH,5283,0.588236057241243
1017092617102070628,7.172003004659825,3.868872082634747,7.526200135421622,723,PVN_PVH,5283,0.53140700611289
1017092617101890259,7.378546249308044,2.720246275322092,10.588413390739412,725,PVN_PVH,5283,0.58111741030371
1017092617102000221-1,7.062042188268896,3.951911015094285,4.069042845462995,723,PVN_PVH,5283,0.519452169730185
1017092617101990511-1,7.024801076002825,4.213682032061599,3.705878310172382,723,PVN_PVH,5283,0.62429543985781
1017092617102530211,7.066509910765385,4.737518549178372,6.936929857537407,723,PVN_PVH,5283,0.609610242178194
1017092617102240251,6.998809768972058,4.613715216854255,4.203751843633317,723,PVN_PVH,5283,0.538893297676582
1017092617102240233,7.01972899361371,4.497183010055919,4.5132014460602905,723,PVN_PVH,5283,0.64924712307148
1017092617102310046-1,7.180122902372736,3.89813961952074,7.903870912881248,723,PVN_PVH,5283,0.515012032401394
1017092617102310151-1,7.168221301626675,4.001618727653918,7.856325628542999,723,PVN_PVH,5283,0.523137644674309
1017092617101890267,7.377087688431466,2.717928926784509,10.530740545994858,725,PVN_PVH,5283,0.686498058081497
1017092617101650502-1,7.393008680593105,2.5231277971499964,10.399452165858175,725,PVN_PVH,5283,0.535579282047343
1017092617102250389,7.008600418198803,4.629302254981113,4.590990001458323,723,PVN_PVH,5283,0.504311076329692
1017092617101990413-1,7.041750233947352,4.100800268606869,3.8927858339026336,723,PVN_PVH,5283,0.503276431085195
1017092617101990116-1,7.067080578103034,3.8419336992688167,3.8604169661851255,723,PVN_PVH,5283,0.55300706782997
1017092617101750366,7.088169331634423,3.590820206753838,3.710427302335784,723,PVN_PVH,5283,0.507585817797544
1017092617102070351,7.19495849580934,3.65394090071003,7.564846307700123,723,PVN_PVH,5283,0.523499396129335
1017092617101900142,7.382493270238058,2.674492587564084,10.564661568260911,725,PVN_PVH,5283,0.529690135615535
1017092617101900512,7.354739583435877,2.9798561473203256,10.675241525278468,725,PVN_PVH,5283,0.636440475507305
1017092617102070298,7.21547126022903,3.525734939410507,7.820125009711276,723,PVN_PVH,5283,0.564781783095531
1017092617102240083,7.016790103547213,4.409659371644537,4.110568285722133,723,PVN_PVH,5283,0.647920225309161
1017092617102240151,7.0209712921227165,4.437415424220841,4.348894682144862,723,PVN_PVH,5283,0.548550427499949
1017092617101750607,7.075031411347746,3.751566114902552,3.818753077847089,723,PVN_PVH,5283,0.539901164344166
1104095349101430508,6.828008074255134,4.484606144983759,4.105912538978451,723,PVN_PVH,5283,0.680582282061847
1104095349101420530,6.814734192223462,4.629144551121711,4.153583024344243,723,PVN_PVH,5283,0.520808969852636
1104095349101430322,6.867809742599372,4.028948204131932,3.88602257552778,723,PVN_PVH,5283,0.513939658966695
1104095349102440410-1,6.903696612966114,4.595122258063818,7.065183935477713,723,PVN_PVH,5283,0.503982307585097
1104095349101260596,6.84788021869735,4.145286645124232,3.609594349299437,723,PVN_PVH,5283,0.561278349280084
1104095349101430348,6.850278706359594,4.21124925811749,3.91927200146151,723,PVN_PVH,5283,0.522443214607109
1104095349101430392,6.837824031007623,4.344969663905266,3.957449312671918,723,PVN_PVH,5283,0.542857343389417
1019171907102600324-2,6.664086251466418,4.246021094969015,3.863907405332871,723,PVN_PVH,5283,0.559825139561038
1019171907101360165-2,6.74200604413806,4.54142220292413,7.538292162157354,723,PVN_PVH,5283,0.506872539778783
1019171907102590582-1,6.695540217982727,3.8506255343404976,3.568084018759452,723,PVN_PVH,5283,0.590651513184704
1019171907102410432,6.697745918824296,4.001106095365562,4.16338429955271,723,PVN_PVH,5283,0.545034265728915
1019171907102590122-1,6.714927928505444,3.777141663413566,3.974221081105848,723,PVN_PVH,5283,0.513976692618485
1019171907102420443-1,6.6582169043806605,4.402093802215388,4.203592245439912,723,PVN_PVH,5283,0.518451600168846
