cell_label,brain_section_label,cluster_alias,average_correlation_score
1017092617102940230,C57BL6J-638850.25,5283,0.556312586908043
1018093344102440709-2,C57BL6J-638850.36,5283,0.585503308953775
1018093344103910614,C57BL6J-638850.35,5283,0.561008876888328
1019171907102770500,C57BL6J-638850.37,5283,0.603757454316071
1018093343102350561,C57BL6J-638850.24,5283,0.695142014062569
1018093344201470230,C57BL6J-638850.35,5283,0.535283864144326
1019171907102780167,C57BL6J-638850.37,5283,0.582423525608132
1104095349102790314,C57BL6J-638850.26,5283,0.618670629255829
1018093344101320608-2,C57BL6J-638850.36,5283,0.512170275716311
1104095349101430508,C57BL6J-638850.39,5283,0.680582282061847
1017092617102550059,C57BL6J-638850.38,5283,0.514945443498494
1017092617102960410,C57BL6J-638850.25,5283,0.578916492714301
1104095349102120294-1,C57BL6J-638850.32,5283,0.539061264278318
1018093344101500050-2,C57BL6J-638850.36,5283,0.547017379314793
1017092617100730581,C57BL6J-638850.25,5283,0.654825525638544
1017092617100730622,C57BL6J-638850.25,5283,0.603942319653947
1104095349102790076,C57BL6J-638850.26,5283,0.511699589907197
1019171907102780107,C57BL6J-638850.37,5283,0.661310311356456
1018093344102150078-3,C57BL6J-638850.18,5283,0.567536563698317
1017092617100700141,C57BL6J-638850.25,5283,0.56943248942077
1017092617102240339,C57BL6J-638850.38,5283,0.51336216811267
1017092617102240532,C57BL6J-638850.38,5283,0.533590738973918
1104095349100250116,C57BL6J-638850.32,5283,0.648488881247937
1104095349102750263,C57BL6J-638850.26,5283,0.598711799196211
1018093343102340910,C57BL6J-638850.24,5283,0.572189536816012
1018093344102420487,C57BL6J-638850.36,5283,0.513258773179037
1017092617100720120,C57BL6J-638850.25,5283,0.515901505524243
1017092617102960448,C57BL6J-638850.25,5283,0.639856667078854
1018093344102430576-2,C57BL6J-638850.36,5283,0.647337727358513
1018093344102620327-2,C57BL6J-638850.36,5283,0.644375086184481
1104095349100240079,C57BL6J-638850.32,5283,0.52300469831576
1017092617102060591,C57BL6J-638850.38,5283,0.613088609967909
1019171907102780296,C57BL6J-638850.37,5283,0.577948329418429
1018093344101830332-4,C57BL6J-638850.33,5283,0.567306814168249
1017092617102310026-1,C57BL6J-638850.38,5283,0.588236057241243
1104095349102760170,C57BL6J-638850.26,5283,0.518876791272347
1018093344102890091-1,C57BL6J-638850.35,5283,0.538299999283522
1018093344100060132,C57BL6J-638850.36,5283,0.594183124085647
1018093344102010421-4,C57BL6J-638850.18,5283,0.625780430054178
1104095349102120101-1,C57BL6J-638850.32,5283,0.523790532773255
1018093344100060077,C57BL6J-638850.36,5283,0.648949894864635
1018093344100070074,C57BL6J-638850.36,5283,0.519162125350955
1017092617100730686,C57BL6J-638850.25,5283,0.54069634040387
1018093344102890245-3,C57BL6J-638850.35,5283,0.578093483962554
1017092617102070628,C57BL6J-638850.38,5283,0.53140700611289
1018093344101330051-2,C57BL6J-638850.36,5283,0.563821059481459
1104095349102760369,C57BL6J-638850.26,5283,0.578688823397081
1104095349101620760-1,C57BL6J-638850.32,5283,0.601014946029595
1018093344102610151-3,C57BL6J-638850.36,5283,0.676449268995884
1104095349102600774,C57BL6J-638850.26,5283,0.601507207099532
1017092617102760420,C57BL6J-638850.25,5283,0.63927415423595
1104095349102750084,C57BL6J-638850.26,5283,0.501549340720047
1018093344101470209-5,C57BL6J-638850.35,5283,0.508352581773063
1018093345101690525,C57BL6J-638850.31,5283,0.52082252289575
1018093345100190202,C57BL6J-638850.31,5283,0.555479993574493
1019171907102770570,C57BL6J-638850.37,5283,0.626523055692871
1018093343102490245,C57BL6J-638850.24,5283,0.505538698092548
1018093344102690453,C57BL6J-638850.35,5283,0.603033575352822
1104095349101620881,C57BL6J-638850.32,5283,0.551199824611531
1018093344101830160-3,C57BL6J-638850.33,5283,0.579617989300142
1018093344102700533,C57BL6J-638850.35,5283,0.505546758774437
1018093343102480112,C57BL6J-638850.24,5283,0.524902652825342
1017092617102760325,C57BL6J-638850.25,5283,0.507123618588955
1018093344102900076-2,C57BL6J-638850.35,5283,0.522763589071688
1018093345101690558,C57BL6J-638850.31,5283,0.530829148589402
1018093344100060112,C57BL6J-638850.36,5283,0.634610916416987
1018093344102290611-2,C57BL6J-638850.19,5283,0.632442851072527
1019171907103490145,C57BL6J-638850.37,5283,0.526606595155553
1017092617102960440,C57BL6J-638850.25,5283,0.615957163504624
1104095349101960453-2,C57BL6J-638850.32,5283,0.643118620680452
1019171907102600324-2,C57BL6J-638850.40,5283,0.559825139561038
1019171907103270097,C57BL6J-638850.37,5283,0.614476470903657
1018093344101320471-3,C57BL6J-638850.36,5283,0.682730341780218
1017092617102760352,C57BL6J-638850.25,5283,0.543483999409096
1018093344100060144,C57BL6J-638850.36,5283,0.597566763920476
1017092617101890259,C57BL6J-638850.38,5283,0.58111741030371
1018093344102700300,C57BL6J-638850.35,5283,0.549576806195344
1018093344101870301-2,C57BL6J-638850.18,5283,0.511514715620822
1017092617200710136,C57BL6J-638850.25,5283,0.524557540057984
1018093345103280081,C57BL6J-638850.31,5283,0.574425509905893
1018093344102620246-2,C57BL6J-638850.36,5283,0.51726120978843
1017092617102760373,C57BL6J-638850.25,5283,0.601308719736512
1018093344103550460,C57BL6J-638850.36,5283,0.569744546645712
1018093344102290565-2,C57BL6J-638850.19,5283,0.593790533946016
1017092617102000221-1,C57BL6J-638850.38,5283,0.519452169730185
1017092617102760463,C57BL6J-638850.25,5283,0.528738908350695
1019171907101600480-1,C57BL6J-638850.37,5283,0.502955894984914
1018093344103380277,C57BL6J-638850.36,5283,0.709756808517705
1018093344103380339,C57BL6J-638850.36,5283,0.633745398717402
1104095349103450053,C57BL6J-638850.32,5283,0.580830148571416
1017092617102940028,C57BL6J-638850.25,5283,0.545318493009482
1019171907101830408,C57BL6J-638850.37,5283,0.573995703797238
1017092617101990511-1,C57BL6J-638850.38,5283,0.62429543985781
1018093344101320364-5,C57BL6J-638850.36,5283,0.564021358846505
1018093344102890170-2,C57BL6J-638850.35,5283,0.673569425936095
1017092617100740794,C57BL6J-638850.25,5283,0.504074672098656
1017092617102530211,C57BL6J-638850.38,5283,0.609610242178194
1104095349102600866,C57BL6J-638850.26,5283,0.59437481279763
1018093344102690531,C57BL6J-638850.35,5283,0.601607945166581
1017092617102240251,C57BL6J-638850.38,5283,0.538893297676582
1018093344101460047-3,C57BL6J-638850.35,5283,0.584696363627376
1018093344101460187-7,C57BL6J-638850.35,5283,0.588880709470323
1018093344100070164,C57BL6J-638850.36,5283,0.553364292170115
1017092617100550636,C57BL6J-638850.25,5283,0.560352970136368
1019171907103270151,C57BL6J-638850.37,5283,0.624042601173548
1017092617102240233,C57BL6J-638850.38,5283,0.64924712307148
1104095349102790515,C57BL6J-638850.26,5283,0.544080688144512
1017092617102310046-1,C57BL6J-638850.38,5283,0.515012032401394
1017092617102310151-1,C57BL6J-638850.38,5283,0.523137644674309
1018093344102420420-1,C57BL6J-638850.36,5283,0.615334302322399
1018093344103560044,C57BL6J-638850.36,5283,0.514125330175764
1017092617101890267,C57BL6J-638850.38,5283,0.686498058081497
1017092617100730225,C57BL6J-638850.25,5283,0.671404567497792
1018093344101150227-5,C57BL6J-638850.36,5283,0.578580099040435
1018093344104100115,C57BL6J-638850.35,5283,0.611465839556075
1104095349102590465,C57BL6J-638850.26,5283,0.577858300558382
1018093344101830331-7,C57BL6J-638850.33,5283,0.585926551618007
1018093344100380299-2,C57BL6J-638850.33,5283,0.585270259351939
1104095349100250091,C57BL6J-638850.32,5283,0.568999429524863
1018093344101460213-5,C57BL6J-638850.35,5283,0.506274558968037
1017092617101650502-1,C57BL6J-638850.38,5283,0.535579282047343
1017092617100540606,C57BL6J-638850.25,5283,0.532893413434567
1018093344102010349-3,C57BL6J-638850.18,5283,0.51726741422922
1018093344102700280,C57BL6J-638850.35,5283,0.593284410478718
1018093344103240420,C57BL6J-638850.33,5283,0.642572003339275
1018093344103240249,C57BL6J-638850.33,5283,0.588781036893256
1018093344100220135-1,C57BL6J-638850.33,5283,0.51523258039668
1017092617102770504,C57BL6J-638850.25,5283,0.620154622635143
1017092617102250389,C57BL6J-638850.38,5283,0.504311076329692
1019171907101360165-2,C57BL6J-638850.40,5283,0.506872539778783
1104095349102770650,C57BL6J-638850.26,5283,0.599808198250156
1104095349101960357-1,C57BL6J-638850.32,5283,0.574716021420396
1019171907103270086,C57BL6J-638850.37,5283,0.572361153202889
1018093344104110099,C57BL6J-638850.35,5283,0.574141007341623
1019171907102590582-1,C57BL6J-638850.40,5283,0.590651513184704
1104095349102770100,C57BL6J-638850.26,5283,0.629972146018101
1018093344102610227-2,C57BL6J-638850.36,5283,0.619516082790364
1104095349101420530,C57BL6J-638850.39,5283,0.520808969852636
1019171907103490031,C57BL6J-638850.37,5283,0.568698840212051
1104095349101430322,C57BL6J-638850.39,5283,0.513939658966695
1019171907101830227-1,C57BL6J-638850.37,5283,0.531242775973895
1018093344102610047-2,C57BL6J-638850.36,5283,0.526464809494144
1018093344101150489-5,C57BL6J-638850.36,5283,0.540113405656222
1017092617100710257,C57BL6J-638850.25,5283,0.618023747330889
1104095349102770358,C57BL6J-638850.26,5283,0.550380385879671
1104095349102590783,C57BL6J-638850.26,5283,0.559961240963496
1017092617100720711,C57BL6J-638850.25,5283,0.540134592906516
1019171912100520256,C57BL6J-638850.27,5283,0.620089138893186
1104095349102590627,C57BL6J-638850.26,5283,0.543255852888251
1018093345101700569,C57BL6J-638850.31,5283,0.533158226073084
1019171907101820262,C57BL6J-638850.37,5283,0.545937007895576
1017092617100560812,C57BL6J-638850.25,5283,0.61184790414766
1018093344103380484,C57BL6J-638850.36,5283,0.587030761497963
1017092617101990413-1,C57BL6J-638850.38,5283,0.503276431085195
1017092617100550552,C57BL6J-638850.25,5283,0.572828980906639
1019171912102580344,C57BL6J-638850.27,5283,0.588230590130469
1018093344103240494,C57BL6J-638850.33,5283,0.583642520610648
1019171907103490162,C57BL6J-638850.37,5283,0.583668708452522
1017092617101990116-1,C57BL6J-638850.38,5283,0.55300706782997
1104095349101780163-1,C57BL6J-638850.32,5283,0.553048434933019
1104095349103440217,C57BL6J-638850.32,5283,0.628419620244392
1019171907102750295,C57BL6J-638850.37,5283,0.608676717637938
1104095349102440410-1,C57BL6J-638850.39,5283,0.503982307585097
1019171907101600547-1,C57BL6J-638850.37,5283,0.638357385590926
1018093343102340642-1,C57BL6J-638850.24,5283,0.51168690397422
1104095349101260596,C57BL6J-638850.39,5283,0.561278349280084
1018093343102490156-1,C57BL6J-638850.24,5283,0.517949403133182
1018093343102490155-1,C57BL6J-638850.24,5283,0.583625554748515
1017092617100890100,C57BL6J-638850.25,5283,0.545680342979161
1018093344103240407,C57BL6J-638850.33,5283,0.717797979800073
1017092617101750366,C57BL6J-638850.38,5283,0.507585817797544
1018093344101540349-3,C57BL6J-638850.30,5283,0.501237656739403
1019171907102410432,C57BL6J-638850.40,5283,0.545034265728915
1018093344102690619,C57BL6J-638850.35,5283,0.57182505751478
1018093344100380095-1,C57BL6J-638850.33,5283,0.589749240383773
1018093344102420508-1,C57BL6J-638850.36,5283,0.557828901143904
1017092617102960399,C57BL6J-638850.25,5283,0.632566718507274
1019171907102980036,C57BL6J-638850.37,5283,0.522485275544402
1017092617102070351,C57BL6J-638850.38,5283,0.523499396129335
1104095349101430348,C57BL6J-638850.39,5283,0.522443214607109
1019171907102770223,C57BL6J-638850.37,5283,0.538618840787344
1019171907101830379,C57BL6J-638850.37,5283,0.523740441839939
1017092617101900142,C57BL6J-638850.38,5283,0.529690135615535
1018093344101470183-6,C57BL6J-638850.35,5283,0.586777552297002
1104095349102120195-2,C57BL6J-638850.32,5283,0.65558069462341
1104095349102630684,C57BL6J-638850.26,5283,0.506911406186272
1018093343100460468,C57BL6J-638850.24,5283,0.566728739844634
1104095349102780272,C57BL6J-638850.26,5283,0.519472303436156
1104095349103290609,C57BL6J-638850.32,5283,0.53728092305966
1019171912100520197,C57BL6J-638850.27,5283,0.531722159905542
1018093344201150175-2,C57BL6J-638850.36,5283,0.50663228922407
1104095349102770275,C57BL6J-638850.26,5283,0.577391511647691
1104095349103450139,C57BL6J-638850.32,5283,0.50915381964861
1018093345100190173,C57BL6J-638850.31,5283,0.661379158580547
1017092617101900512,C57BL6J-638850.38,5283,0.636440475507305
1104095349100520486,C57BL6J-638850.26,5283,0.691981843162659
1104095349100890265-1,C57BL6J-638850.26,5283,0.563311054953814
1017092617100700090,C57BL6J-638850.25,5283,0.603671824049204
1104095349102760379,C57BL6J-638850.26,5283,0.617832419818172
1018093344101150425-5,C57BL6J-638850.36,5283,0.581050949924195
1018093344101150519-6,C57BL6J-638850.36,5283,0.535790455475375
1019171907103490180,C57BL6J-638850.37,5283,0.596553383124038
1018093345101700525,C57BL6J-638850.31,5283,0.606811795786448
1017092617102770567,C57BL6J-638850.25,5283,0.627083208778862
1018093344102610068-2,C57BL6J-638850.36,5283,0.563707796476351
1017092617100550673,C57BL6J-638850.25,5283,0.543461754334988
1018093344102430626-1,C57BL6J-638850.36,5283,0.51911430222742
1018093344102620334-1,C57BL6J-638850.36,5283,0.539831052491842
1019171907102590122-1,C57BL6J-638850.40,5283,0.513976692618485
1104095349100890339,C57BL6J-638850.26,5283,0.666049289561287
1104095349101430392,C57BL6J-638850.39,5283,0.542857343389417
1019171907102050116-1,C57BL6J-638850.37,5283,0.509026109873379
1018093343100460384,C57BL6J-638850.24,5283,0.598866999820123
1017092617102070298,C57BL6J-638850.38,5283,0.564781783095531
1017092617102930128,C57BL6J-638850.25,5283,0.64803204892435
1017092617100710475,C57BL6J-638850.25,5283,0.562692456600123
1104095349102590616,C57BL6J-638850.26,5283,0.505245369554646
1018093344101470280-4,C57BL6J-638850.35,5283,0.519764964680614
1104095349102780202,C57BL6J-638850.26,5283,0.56749676559662
1019171907103270237,C57BL6J-638850.37,5283,0.631467846454092
1018093345101860180,C57BL6J-638850.31,5283,0.586610976433371
1018093345101860441,C57BL6J-638850.31,5283,0.582149630255831
1104095349101950500-1,C57BL6J-638850.32,5283,0.531383392887118
1017092617100730430,C57BL6J-638850.25,5283,0.507927034517898
1018093344102150124-3,C57BL6J-638850.18,5283,0.619816197076483
1017092617102240083,C57BL6J-638850.38,5283,0.647920225309161
1017092617102240151,C57BL6J-638850.38,5283,0.548550427499949
1017092617100710149,C57BL6J-638850.25,5283,0.590214740076996
1018093344101460212-4,C57BL6J-638850.35,5283,0.529167759913532
1017092617101750607,C57BL6J-638850.38,5283,0.539901164344166
1018093345101380401,C57BL6J-638850.31,5283,0.611570552607353
1017092617100730749,C57BL6J-638850.25,5283,0.514548135434624
1018093344101990129-5,C57BL6J-638850.30,5283,0.513058585410627
1018093344103240477,C57BL6J-638850.33,5283,0.560069152719251
1018093344104100188,C57BL6J-638850.35,5283,0.569215681838816
1019171907102420443-1,C57BL6J-638850.40,5283,0.518451600168846
1104095349102630626,C57BL6J-638850.26,5283,0.603401245661047
1017092617102930068,C57BL6J-638850.25,5283,0.544464590081647
1017092617200740617,C57BL6J-638850.25,5283,0.516668466827913
1018093345102020220,C57BL6J-638850.31,5283,0.560107834871006
